Nama Cabang,Provinsi,Kab/Kota,Cabang
1001.1-G.Tulungagung - Teuku Umar (TLGTEU),Jawa Timur,Tulungagung,TLGTEU
1002.1-G.Madiun - Kapten Saputra (MADSAP),Jawa Timur,Madiun,MADSAP
1003.1-G.Mojokerto - Jendral Sudirman (MJKSUD),Jawa Timur,Mojokerto,MJKSUD
1004.1-G.Kediri - Joyoboyo (KDRJOY),Jawa Timur,Kediri,KDRJOY
1005.1-G.Surakarta - Mawar (SKTMAW),Jawa Tengah,Surakarta,SKTMAW
1006.1-G.Sleman - Babarsari (SMNBAB),Daerah Istimewa Yogyakarta,Sleman,SMNBAB
1007.1-G.Ponorogo - Diponegoro (PNGDIP),Jawa Timur,Ponorogo,PNGDIP
1008.1-G.Blitar - Kalimantan (BLTKAL),Jawa Timur,Blitar,BLTKAL
1009.1-G.Pasuruan - Slagah (PASSLA),Jawa Timur,Pasuruan,PASSLA
1010.1-G.Malang - Kendalsari (MLGKEN),Jawa Timur,Malang,MLGKEN
1011.1-G.Jombang - Urip Sumoharjo (JBGURI),Jawa Timur,Jombang,JBGURI
1012.1-G.Jogja - Colombo (JOGCOL),Jawa tengah,,JOGCOL
1013.1-G.Ngawi - Diponegoro (NGWDIP),Jawa Timur,Ngawi,NGWDIP
1014.1-G.Jember - Sumatra (JMRSUM),Jawa Timur,Jember,JMRSUM
1015.1-G.Sukoharjo - Ir Soekarno (SKHSOE),Jawa Tengah,Sukoharjo,SKHSOE
1016.1-G.Malang - Jakarta (MLGJAK),Jawa Timur,Malang,MLGJAK
1017.1-G.Malang - Ciliwung (MLGCIL),Jawa Timur,Malang,MLGCIL
1018.1-G.Yogyakarta - Taman Siswa (YYKTAM),Daerah Istimewa Yogyakarta,Yogyakarta,YYKTAM
1019.1-G.Probolinggo - Suroyo (PBLSUR),Jawa Timur,Probolinggo,PBLSUR
1020.1-G.Surabaya - Ambengan (SBYAMB),Jawa Timur,Surabaya,SBYAMB
1021.1-G.Semarang - Kompol Maksum (SMGMAK),Jawa Tengah,Semarang,SMGMAK
1022.1-G.Yogyakarta - Krasak Timur (YYKKRA),Daerah Istimewa Yogyakarta,Yogyakarta,YYKKRA
1023.1-G.Surakarta - Adi Sucipto (SKTADI),Jawa Tengah,Karanganyar,SKTADI
1024.1-G.Sleman - Ngapak (SMNNGA),Daerah Istimewa Yogyakarta,Sleman,SMNNGA
1025.1-G.Tuban - Basuki Rachmad (TBNBAS),Jawa Timur,Tuban,TBNBAS
1026.1-G.Sidoarjo - Teuku Umar (SDATEU),Jawa Timur,Sidoarjo,SDATEU
1027.1-G.Semarang - Setiabudi (SMGSET),Jawa Tengah,Semarang,SMGSET
1028.1-G.Surabaya - Raya Menganti (SBYMEN),Jawa Timur,Surabaya,SBYMEN
1029.1-G.Cirebon - Tentara Pelajar (CBNTEN),Jawa Barat,Cirebon,CBNTEN
1030.1-G.Bandung - Setiabudi (BDGSET),Jawa Barat,Bandung,BDGSET
1031.1-G.Gresik - Panglima Sudirman (GSKSUD),Jawa Timur,Gresik,GSKSUD
1032.1-G.Batu - W.R Supratman (BTUSUP),Jawa Timur,Batu,BTUSUP
1033.1-G.Semarang - Prof Hamka (SMGHAM),Jawa Tengah,Semarang,SMGHAM
1034.1-G.Magelang - Tidar (MGGTID),Jawa Tengah,Magelang,MGGTID
1035.1-G.Tegal - Kapten Sudibyo (TGLSUD),Jawa Tengah,Tegal,TGLSUD
1036.1-G.Malang - Ronggowarsito (MLGRON),Jawa Timur,Malang,MLGRON
1037.1-G.Surabaya - Manyar (SBYMAN),Jawa Timur,Surabaya,SBYMAN
1038.1-G.Semarang - Brigjen Sudiarto (SMGSUD),Jawa Tengah,Semarang,SMGSUD
1039.1-G.Banyumas - Dr Soeparno (PWTSOE),Jawa Tengah,Banyumas,PWTSOE
1040.1-G.Semarang - Pamularsih (SMGPAM),Jawa Tengah,Semarang,SMGPAM
1041.1-G.Bandung - Dipati Ukur (BDGUKU),Jawa Barat,Bandung,BDGUKU
1042.1-G.Karawang - Galuh Mas Raya (KWGGAL),Jawa Barat,Karawang,KWGGAL
1043.1-G.Malang - S Supriadi (MLGSUP),Jawa Timur,Malang,MLGSUP
1044.1-G.Surabaya - Dr Ir H Soekarno (SBYSOE),Jawa Timur,Surabaya,SBYSOE
1045.1-G.Semarang - Sukun Raya (SMGSUK),Jawa Tengah,Semarang,SMGSUK
